batch_size,epochs,learning_rate,lr_finetune,avg_accuracy,humour_acc,humour_precision,humour_recall,humour_f1,sarcasm_acc,sarcasm_precision,sarcasm_recall,sarcasm_f1,offensive_acc,offensive_precision,offensive_recall,offensive_f1,motivational_acc,motivational_precision,motivational_recall,motivational_f1
8,3,2e-05,0.0001,0.5693848354792561,0.5994277539341917,0.6443623500721344,0.5994277539341917,0.6183192105938887,0.5937052932761088,0.5888728893242405,0.5937052932761088,0.5912232412964853,0.5350500715307582,0.5583519304868246,0.5350500715307582,0.5399020066776411,0.5493562231759657,0.5567072870199241,0.5493562231759657,0.5526492093320969
8,5,2e-05,0.0001,0.6005007153075823,0.6924177396280401,0.6565245511710387,0.6924177396280401,0.6713146297175421,0.6137339055793991,0.5800732226271433,0.6137339055793991,0.5938877474129579,0.5336194563662375,0.5036755758543079,0.5336194563662375,0.5095924977899228,0.5622317596566524,0.5337194993847354,0.5622317596566524,0.5428219444225828
16,3,2e-05,0.0001,0.6108726752503577,0.6967095851216023,0.6607999303121164,0.6967095851216023,0.6753849648668557,0.6094420600858369,0.5856321619999741,0.6094420600858369,0.5959492204371958,0.5522174535050072,0.5359769501113789,0.5522174535050072,0.5402998381812615,0.5851216022889842,0.5618028788978336,0.5851216022889842,0.568806778981768
64,3,2e-05,0.0001,0.6051502145922747,0.6909871244635193,0.6556509725030483,0.6909871244635193,0.6703066371695976,0.597997138769671,0.5732344360506114,0.597997138769671,0.5841089045525716,0.5536480686695279,0.5313715569684319,0.5536480686695279,0.5355040119629354,0.5779685264663805,0.5620989517436644,0.5779685264663805,0.5679696837571687
64,5,2e-05,0.0001,0.6126609442060086,0.6938483547925608,0.6374867508818266,0.6938483547925608,0.6595189736588922,0.6180257510729614,0.5638453286092636,0.6180257510729614,0.5845218048556041,0.5464949928469242,0.5169028380527649,0.5464949928469242,0.5212295553116111,0.592274678111588,0.5678788171326937,0.592274678111588,0.5745448241744917
16,5,1e-05,5e-05,0.6123032904148784,0.7052932761087267,0.6648355618312699,0.7052932761087267,0.6803860293495944,0.6094420600858369,0.5759367037893408,0.6094420600858369,0.589840673832951,0.5665236051502146,0.553385736703787,0.5665236051502146,0.5570132984731027,0.5679542203147353,0.5526869719684009,0.5679542203147353,0.5585830730222192
16,3,5e-05,0.0002,0.5944206008583691,0.6595135908440629,0.6462153437601948,0.6595135908440629,0.6525135780761417,0.6180257510729614,0.5799256533966283,0.6180257510729614,0.5951029682956838,0.5522174535050072,0.5243341600133862,0.5522174535050072,0.5280310184795584,0.547925608011445,0.547925608011445,0.547925608011445,0.547925608011445
32,3,5e-05,0.0002,0.6051502145922747,0.6881258941344778,0.6454303065650384,0.6881258941344778,0.6629068923783084,0.6237482117310443,0.583686936495767,0.6237482117310443,0.5992237902238798,0.530758226037196,0.5353327342699916,0.530758226037196,0.5327763335328622,0.5779685264663805,0.5542848326741283,0.5779685264663805,0.561714739308346
