batch_size,epochs,learning_rate,lr_finetune,avg_accuracy,humour_acc,humour_precision,humour_recall,humour_f1,sarcasm_acc,sarcasm_precision,sarcasm_recall,sarcasm_f1,offensive_acc,offensive_precision,offensive_recall,offensive_f1,motivational_acc,motivational_precision,motivational_recall,motivational_f1
8,3,2e-05,0.0001,0.677038626609442,0.7639484978540773,0.583617307373501,0.7639484978540773,0.661716947046354,0.7110157367668097,0.5055433779300493,0.7110157367668097,0.5909277946038536,0.6022889842632332,0.3627520205648372,0.6022889842632332,0.45279225424075203,0.630901287553648,0.5813602480645624,0.630901287553648,0.5593039271318696
8,5,2e-05,0.0001,0.655937052932761,0.6666666666666666,0.6544366508068867,0.6666666666666666,0.6602258506205739,0.7110157367668097,0.5055433779300493,0.7110157367668097,0.5909277946038536,0.6065808297567954,0.762026622597142,0.6065808297567954,0.46250039818819894,0.6394849785407726,0.4089410377792923,0.6394849785407726,0.4988652450396602
16,3,2e-05,0.0001,0.5897711015736766,0.6494992846924177,0.6396920756749033,0.6494992846924177,0.6444199051244355,0.5793991416309013,0.562458735841498,0.5793991416309013,0.570294631920484,0.5364806866952789,0.5467410695425239,0.5364806866952789,0.5402226313897365,0.5937052932761088,0.5334713832130927,0.5937052932761088,0.5393762530178479
64,3,2e-05,0.0001,0.5343347639484979,0.6251788268955651,0.6488519246037137,0.6251788268955651,0.6359567645935701,0.45064377682403434,0.5813738007701734,0.45064377682403434,0.4697488700596721,0.547925608011445,0.5292845721420857,0.547925608011445,0.533909798061139,0.5135908440629471,0.5250002560767001,0.5135908440629471,0.5185276575454734
64,5,2e-05,0.0001,0.5525751072961373,0.5994277539341917,0.6569105498340245,0.5994277539341917,0.6219376292590126,0.5579399141630901,0.5864322909185622,0.5579399141630901,0.5700042750940145,0.47782546494992845,0.5087711182596506,0.47782546494992845,0.4819530981755529,0.575107296137339,0.5358314636251842,0.575107296137339,0.5452695650484333
16,5,1e-05,5e-05,0.5804721030042919,0.7367668097281831,0.6372707260679752,0.7367668097281831,0.6654982911433218,0.46494992846924177,0.589352862806406,0.46494992846924177,0.4853577008155947,0.5450643776824035,0.5617754378971702,0.5450643776824035,0.5497235892301867,0.575107296137339,0.544293526424719,0.575107296137339,0.5528662527474324
16,3,5e-05,0.0002,0.6223175965665236,0.7567954220314735,0.6572856940729411,0.7567954220314735,0.668105714265386,0.6366237482117311,0.5456413616498066,0.6366237482117311,0.5778830474012238,0.45493562231759654,0.5480572309733918,0.45493562231759654,0.41094135987243835,0.6409155937052933,0.6108540150525597,0.6409155937052933,0.5121274279684418
32,3,5e-05,0.0002,0.5847639484978541,0.6752503576537912,0.6589992176419408,0.6752503576537912,0.6665085859910802,0.703862660944206,0.5040630295234444,0.703862660944206,0.5874386943564575,0.4263233190271817,0.49850228009605063,0.4263233190271817,0.38001964647991543,0.5336194563662375,0.5470375263784735,0.5336194563662375,0.5391372377612648
