batch_size,epochs,learning_rate,lr_finetune,avg_accuracy,humour_acc,humour_precision,humour_recall,humour_f1,sarcasm_acc,sarcasm_precision,sarcasm_recall,sarcasm_f1,offensive_acc,offensive_precision,offensive_recall,offensive_f1,motivational_acc,motivational_precision,motivational_recall,motivational_f1
8,3,2e-05,0.0001,0.6280400572246065,0.7639484978540773,0.583617307373501,0.7639484978540773,0.661716947046354,0.7110157367668097,0.5055433779300493,0.7110157367668097,0.5909277946038536,0.3977110157367668,0.1581740520383708,0.3977110157367668,0.22633298336708532,0.6394849785407726,0.4089410377792923,0.6394849785407726,0.4988652450396602
8,5,2e-05,0.0001,0.551859799713877,0.7567954220314735,0.6166187629136349,0.7567954220314735,0.6607624143816797,0.5779685264663805,0.5975865191548139,0.5779685264663805,0.586657235358414,0.41201716738197425,0.5280636360657984,0.41201716738197425,0.29245679552590353,0.46065808297567956,0.5441684899997195,0.46065808297567956,0.45791531273820024
16,3,2e-05,0.0001,0.505722460658083,0.5894134477825465,0.6243726169474609,0.5894134477825465,0.6050181448990808,0.46065808297567956,0.5933945838751709,0.46065808297567956,0.47925034076463574,0.4949928469241774,0.5455524526076193,0.4949928469241774,0.4916206225349869,0.47782546494992845,0.5477620670147073,0.47782546494992845,0.4818970221388823
64,3,2e-05,0.0001,0.47854077253218885,0.47639484978540775,0.6614781045964537,0.47639484978540775,0.5104550283498418,0.4892703862660944,0.6183241584838497,0.4892703862660944,0.5083471915304895,0.39914163090128757,0.5195408838480662,0.39914163090128757,0.2343435202784911,0.5493562231759657,0.54818380819415,0.5493562231759657,0.5487605752223
64,5,2e-05,0.0001,0.5071530758226037,0.6266094420600858,0.6437999657252792,0.6266094420600858,0.6346646409976567,0.4792560801144492,0.6037193829557811,0.4792560801144492,0.4993824336470012,0.4978540772532189,0.5251407384479777,0.4978540772532189,0.5026575615924253,0.4248927038626609,0.5519876424560402,0.4248927038626609,0.3849179695011765
16,5,1e-05,5e-05,0.5311158798283262,0.6652360515021459,0.644457218170169,0.6652360515021459,0.653993374786388,0.43776824034334766,0.6403737469173579,0.43776824034334766,0.43352782245072846,0.41630901287553645,0.5964119023058454,0.41630901287553645,0.2827578880015453,0.6051502145922747,0.5430520275211788,0.6051502145922747,0.5432943062829579
16,3,5e-05,0.0002,0.503934191702432,0.7639484978540773,0.583617307373501,0.7639484978540773,0.661716947046354,0.28898426323319026,0.0835119043964298,0.28898426323319026,0.12957784944085335,0.6022889842632332,0.3627520205648372,0.6022889842632332,0.45279225424075203,0.3605150214592275,0.12997108069774724,0.3605150214592275,0.1910615886597799
32,3,5e-05,0.0002,0.5472103004291846,0.23605150214592274,0.05572031166534657,0.23605150214592274,0.09015855984740104,0.7110157367668097,0.5055433779300493,0.7110157367668097,0.5909277946038536,0.6022889842632332,0.3627520205648372,0.6022889842632332,0.45279225424075203,0.6394849785407726,0.4089410377792923,0.6394849785407726,0.4988652450396602
