batch_size,epochs,learning_rate,lr_finetune,avg_accuracy,humour_acc,humour_precision,humour_recall,humour_f1,sarcasm_acc,sarcasm_precision,sarcasm_recall,sarcasm_f1,offensive_acc,offensive_precision,offensive_recall,offensive_f1,motivational_acc,motivational_precision,motivational_recall,motivational_f1
8,3,2e-05,0.0001,0.5627086313781593,0.5622317596566524,0.6266997604150507,0.5622317596566524,0.5879578006453697,0.6866952789699571,0.6227777946759863,0.6866952789699571,0.6297663957406447,0.4592274678111588,0.5198776568226777,0.4592274678111588,0.44413331650062077,0.5736766809728183,0.49661682202812985,0.5736766809728183,0.5126052912121237
8,5,2e-05,0.0001,0.4302575107296137,0.23605150214592274,0.05572031166534657,0.23605150214592274,0.09015855984740104,0.28898426323319026,0.0835119043964298,0.28898426323319026,0.12957784944085335,0.3977110157367668,0.1581740520383708,0.3977110157367668,0.22633298336708532,0.6394849785407726,0.4089410377792923,0.6394849785407726,0.4988652450396602
16,3,2e-05,0.0001,0.4750834525512637,0.5951359084406295,0.646666690332757,0.5951359084406295,0.616161160999652,0.4363376251788269,0.578328465023744,0.4363376251788269,0.45209246656574614,0.5236051502145923,0.518599498860456,0.5236051502145923,0.5208064651330994,0.5350500715307582,0.5566491579646216,0.5350500715307582,0.542683561542961
64,3,2e-05,0.0001,0.514067715784454,0.46208869814020026,0.6437887187938282,0.46208869814020026,0.49737502305243725,0.5150214592274678,0.59884902968179,0.5150214592274678,0.5376729075987894,0.5822603719599427,0.5457018711181352,0.5822603719599427,0.5356155402934184,0.5236051502145923,0.5656820668181436,0.5236051502145923,0.5329743946708412
64,5,2e-05,0.0001,0.5143776824034335,0.5236051502145923,0.6649283867855684,0.5236051502145923,0.5592021667875401,0.5364806866952789,0.5849780955073399,0.5364806866952789,0.5545027588439516,0.474964234620887,0.512803444862456,0.474964234620887,0.47665395597440624,0.5107296137339056,0.5363186981454013,0.5107296137339056,0.5194307059586956
16,5,1e-05,5e-05,0.5254649499284693,0.630901287553648,0.6943987663502937,0.630901287553648,0.6534645085818103,0.5436337625178826,0.5935333866585768,0.5436337625178826,0.5617338270153106,0.542203147353362,0.5524030346697851,0.542203147353362,0.5458988951997398,0.5092989985693849,0.5504594791023816,0.5092989985693849,0.5189834900573488
16,3,5e-05,0.0002,0.46447305674773487,0.23605150214592274,0.05572031166534657,0.23605150214592274,0.09015855984740104,0.7110157367668097,0.5055433779300493,0.7110157367668097,0.5909277946038536,0.3977110157367668,0.1581740520383708,0.3977110157367668,0.22633298336708532,0.3605150214592275,0.12997108069774724,0.3605150214592275,0.1910615886597799
32,3,5e-05,0.0002,0.5255126371006199,0.2374821173104435,0.5649203295348034,0.2374821173104435,0.09561487337400253,0.28898426323319026,0.0835119043964298,0.28898426323319026,0.12957784944085335,0.6022889842632332,0.3627520205648372,0.6022889842632332,0.45279225424075203,0.6394849785407726,0.4089410377792923,0.6394849785407726,0.4988652450396602
