batch_size,epochs,learning_rate,lr_finetune,avg_accuracy,humour_acc,humour_precision,humour_recall,humour_f1,sarcasm_acc,sarcasm_precision,sarcasm_recall,sarcasm_f1,offensive_acc,offensive_precision,offensive_recall,offensive_f1,motivational_acc,motivational_precision,motivational_recall,motivational_f1
16,3,2e-05,0.0001,0.6791845493562232,0.7639484978540773,0.583617307373501,0.7639484978540773,0.661716947046354,0.7110157367668097,0.5055433779300493,0.7110157367668097,0.5909277946038536,0.6022889842632332,0.3627520205648372,0.6022889842632332,0.45279225424075203,0.6394849785407726,0.4089410377792923,0.6394849785407726,0.4988652450396602
32,3,2e-05,0.0001,0.6105150214592274,0.7238912732474965,0.6462252007913674,0.7238912732474965,0.6702217009892825,0.642346208869814,0.5772388410822997,0.642346208869814,0.59859037000354,0.542203147353362,0.5129412030151689,0.542203147353362,0.5178597456032821,0.5336194563662375,0.5236372827040401,0.5336194563662375,0.5280564204699525
32,5,1e-05,5e-05,0.6051502145922747,0.698140200286123,0.6551537518275716,0.698140200286123,0.6720692207816269,0.6165951359084406,0.5818991831824949,0.6165951359084406,0.5959705983917912,0.5507868383404864,0.5243236513350744,0.5507868383404864,0.5283767635899725,0.5550786838340487,0.5271135951168014,0.5550786838340487,0.5364811874618556
