batch_size,epochs,learning_rate,lr_finetune,avg_accuracy,humour_acc,humour_precision,humour_recall,humour_f1,sarcasm_acc,sarcasm_precision,sarcasm_recall,sarcasm_f1,offensive_acc,offensive_precision,offensive_recall,offensive_f1,motivational_acc,motivational_precision,motivational_recall,motivational_f1
8,3,2e-05,0.0001,0.6169527896995708,0.6509298998569385,0.6464925934923506,0.6509298998569385,0.6486728254457094,0.5565092989985694,0.57509182060595,0.5565092989985694,0.5649365297024371,0.48354792560801146,0.49349797334655876,0.48354792560801146,0.48748227418239615,0.5822603719599427,0.5537935423130608,0.5822603719599427,0.5615363971571847
8,5,2e-05,0.0001,0.5964949928469242,0.6165951359084406,0.6319637551413907,0.6165951359084406,0.6238911172371185,0.6080114449213162,0.579311792837034,0.6080114449213162,0.5914968003280517,0.47782546494992845,0.5164623718044664,0.47782546494992845,0.479247145011211,0.580829756795422,0.5389276162041603,0.580829756795422,0.5477042436608734
16,3,2e-05,0.0001,0.5337386742966143,0.5679542203147353,0.6616356555453472,0.5679542203147353,0.59874997422207,0.5693848354792561,0.5687509931254495,0.5693848354792561,0.5690669630184454,0.5050071530758226,0.5581165613985609,0.5050071530758226,0.5011350139456194,0.5650929899856938,0.5447626583639382,0.5650929899856938,0.552029261860229
64,3,2e-05,0.0001,0.5184787792083929,0.5522174535050072,0.6461630119701999,0.5522174535050072,0.5840479865666581,0.575107296137339,0.5806442469896894,0.575107296137339,0.5777957434763406,0.47353361945636624,0.5503960430006962,0.47353361945636624,0.45019381451945717,0.4978540772532189,0.5217305354983155,0.4978540772532189,0.5064249686160425
64,5,2e-05,0.0001,0.5268955650929901,0.5536480686695279,0.6627651851047764,0.5536480686695279,0.5867609721590591,0.5393419170243204,0.5946381307781947,0.5393419170243204,0.5585716984188331,0.5007153075822603,0.5063984782666054,0.5007153075822603,0.5032010484778939,0.525035765379113,0.5433054458073786,0.525035765379113,0.5320156214341979
16,5,1e-05,5e-05,0.551931330472103,0.5121602288984263,0.6353780850372853,0.5121602288984263,0.5488746368731636,0.5522174535050072,0.584431010156837,0.5522174535050072,0.5655727204735349,0.5236051502145923,0.5238960346394931,0.5236051502145923,0.5237495625233329,0.5636623748211731,0.5594924409969425,0.5636623748211731,0.5614462864712235
16,3,5e-05,0.0002,0.5648545541249405,0.5708154506437768,0.6542840507496209,0.5708154506437767,0.6000512561036244,0.6394849785407726,0.5750657125849168,0.6394849785407726,0.5966666652901487,0.41201716738197425,0.5106612729804442,0.41201716738197425,0.3053470121281799,0.5908440629470673,0.534236493622082,0.5908440629470673,0.5410644638574685
32,3,5e-05,0.0002,0.5361230329041488,0.6380543633762518,0.6659248378763652,0.6380543633762518,0.6503225437164344,0.5050071530758226,0.5895300820426055,0.5050071530758226,0.5281279014103354,0.4234620886981402,0.47230613883784184,0.4234620886981402,0.4102274817057763,0.5107296137339056,0.5402435958858878,0.5107296137339056,0.5199728558611454
