batch_size,epochs,learning_rate,lr_finetune,avg_accuracy,humour_acc,humour_precision,humour_recall,humour_f1,sarcasm_acc,sarcasm_precision,sarcasm_recall,sarcasm_f1,offensive_acc,offensive_precision,offensive_recall,offensive_f1,motivational_acc,motivational_precision,motivational_recall,motivational_f1
8,3,2e-05,0.0001,0.6183834048640916,0.7281831187410587,0.6419353056508176,0.7281831187410587,0.6678284768664215,0.6466380543633763,0.5842460083923043,0.6466380543633763,0.6040409979030709,0.5150214592274678,0.5217452239166259,0.5150214592274678,0.5178441879280234,0.5836909871244635,0.5472518601241888,0.5836909871244635,0.5553367598055668
8,5,2e-05,0.0001,0.5658082975679541,0.6566523605150214,0.6637313314081653,0.6566523605150214,0.6600789646119609,0.5493562231759657,0.5966851305154679,0.5493562231759657,0.5667560928604859,0.5121602288984263,0.5082354224593768,0.5121602288984263,0.5100292497037984,0.5450643776824035,0.5458508299858862,0.5450643776824035,0.5454534424261391
16,3,2e-05,0.0001,0.5425608011444921,0.6738197424892703,0.6457946602078263,0.6738197424892703,0.6581991429492119,0.45064377682403434,0.5800493968915342,0.45064377682403434,0.470077839748561,0.5178826895565093,0.5175879481240393,0.5178826895565093,0.517734302964856,0.5278969957081545,0.5571654633183415,0.5278969957081545,0.5368159135502281
64,3,2e-05,0.0001,0.5536480686695279,0.580829756795422,0.6558056397423895,0.580829756795422,0.6080531883740877,0.5679542203147353,0.5717221083273546,0.5679542203147353,0.5698036509999684,0.542203147353362,0.5365977733764653,0.542203147353362,0.5389730296566916,0.5236051502145923,0.5146788118891122,0.5236051502145923,0.518715566581727
64,5,2e-05,0.0001,0.5736766809728183,0.6638054363376252,0.66310035209373,0.6638054363376252,0.6634517495737118,0.6051502145922747,0.5907310798606846,0.6051502145922747,0.5973356919030969,0.525035765379113,0.5136493621451124,0.525035765379113,0.5178692069250008,0.5007153075822603,0.5418359694046101,0.5007153075822603,0.510569207084591
16,5,1e-05,5e-05,0.5765379113018598,0.6638054363376252,0.66310035209373,0.6638054363376252,0.6634517495737118,0.5550786838340487,0.5860095781915411,0.5550786838340487,0.5679825582082556,0.4978540772532189,0.4836591446537712,0.4978540772532189,0.48900800046963994,0.5894134477825465,0.555059189078138,0.5894134477825465,0.5623039680629994
16,3,5e-05,0.0002,0.5715307582260372,0.648068669527897,0.6310034178005895,0.648068669527897,0.6390512940223536,0.5221745350500715,0.5956602553912997,0.5221745350500715,0.5441618904221744,0.5450643776824035,0.5148486524915779,0.5450643776824035,0.5193284117869644,0.5708154506437768,0.5685852993026704,0.5708154506437768,0.5696606167157902
32,3,5e-05,0.0002,0.5318311874105865,0.6137339055793991,0.6436797733166468,0.6137339055793991,0.6270982493657465,0.48783977110157367,0.593040591078431,0.48783977110157367,0.5105906814299294,0.47067238912732473,0.47569500539048876,0.47067238912732473,0.47294891282670437,0.5550786838340487,0.5600629988136878,0.5550786838340487,0.5573898517614053
