batch_size,epochs,learning_rate,lr_finetune,avg_accuracy,humour_acc,humour_precision,humour_recall,humour_f1,sarcasm_acc,sarcasm_precision,sarcasm_recall,sarcasm_f1,offensive_acc,offensive_precision,offensive_recall,offensive_f1,motivational_acc,motivational_precision,motivational_recall,motivational_f1
8,3,2e-05,0.0001,0.554005722460658,0.630901287553648,0.661252175126715,0.630901287553648,0.6441828531826127,0.5565092989985694,0.5833193337475825,0.5565092989985694,0.5680175492379016,0.5207439198855508,0.5397024295151275,0.5207439198855508,0.5257796560900374,0.5078683834048641,0.5527492941367773,0.5078683834048641,0.51736545947494
8,5,2e-05,0.0001,0.5647353361945637,0.5565092989985694,0.6761183779613469,0.5565092989985694,0.5898418734872142,0.6194563662374821,0.5983678329904016,0.6194563662374821,0.6074930960287597,0.49213161659513593,0.5253701592598226,0.49213161659513593,0.49566179967809554,0.5908440629470673,0.5620499419224914,0.5908440629470673,0.5690475648087626
16,3,2e-05,0.0001,0.5525751072961373,0.4907010014306152,0.6418056942731621,0.4907010014306152,0.5281201522689014,0.6580829756795422,0.5884202874578868,0.6580829756795422,0.6077823909802446,0.5608011444921316,0.5146103572567701,0.5608011444921316,0.5123190687485529,0.5007153075822603,0.5615467768347372,0.5007153075822603,0.507749640155374
64,3,2e-05,0.0001,0.5765379113018598,0.6781115879828327,0.6649321489941981,0.6781115879828327,0.6710921759505702,0.5793991416309013,0.5553198307243905,0.5793991416309013,0.5661765798212606,0.49642346208869814,0.49073516874214906,0.49642346208869814,0.4932693062858388,0.5522174535050072,0.584044045452615,0.5522174535050072,0.560911273028214
64,5,2e-05,0.0001,0.5886981402002861,0.7167381974248928,0.6557573224561895,0.7167381974248928,0.6760176426036206,0.5822603719599427,0.5583946880291055,0.5822603719599427,0.5691277595503678,0.49356223175965663,0.48026712570274777,0.49356223175965663,0.4854167105175903,0.5622317596566524,0.5697959969184324,0.5622317596566524,0.5655773254531171
16,5,1e-05,5e-05,0.5883404864091559,0.670958512160229,0.6653796947198306,0.670958512160229,0.6680942428186234,0.65379113018598,0.6148633895000157,0.65379113018598,0.6279422661294753,0.44635193133047213,0.4743038328498817,0.44635193133047213,0.4513074777271196,0.5822603719599427,0.5450510017650131,0.5822603719599427,0.553368575938634
16,3,5e-05,0.0002,0.5257510729613734,0.4907010014306152,0.6648330552830728,0.4907010014306152,0.5256321846658272,0.6680972818311874,0.5998267902073016,0.6680972818311874,0.6158532577433715,0.41630901287553645,0.48088177916504093,0.41630901287553645,0.36973792347730805,0.5278969957081545,0.549242519141785,0.5278969957081545,0.5355659500405451
32,3,5e-05,0.0002,0.5844062947067239,0.6895565092989986,0.6497846790588544,0.6895565092989986,0.6661142937945952,0.5493562231759657,0.5782104478955402,0.5493562231759657,0.561654843542442,0.4821173104434907,0.5258715640750338,0.4821173104434907,0.48133292236410935,0.6165951359084406,0.5658013264220373,0.6165951359084406,0.5604160796776202
