epoch,task,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,batch_size,epochs,lr_text,lr_image,lr_heads
1,humour,0.2044975785405508,10.361773425882513,0.6723891273247496,0.6513894575127027,0.6723891273247496,0.6609375251223742,16,3,2e-05,0.0001,0.0001
1,sarcasm,0.2044975785405508,10.361773425882513,0.6280400572246065,0.5805302704163455,0.6280400572246065,0.5981569293852659,16,3,2e-05,0.0001,0.0001
1,offensive,0.2044975785405508,10.361773425882513,0.5522174535050072,0.5336612210813388,0.5522174535050072,0.5380435811645973,16,3,2e-05,0.0001,0.0001
1,motivational,0.2044975785405508,10.361773425882513,0.5765379113018598,0.5506446826588789,0.5765379113018598,0.5584820738972804,16,3,2e-05,0.0001,0.0001
2,humour,0.1873574953206948,11.211362795396285,0.709585121602289,0.648192172755448,0.709585121602289,0.6699118286579993,16,3,2e-05,0.0001,0.0001
2,sarcasm,0.1873574953206948,11.211362795396285,0.5937052932761088,0.5635023704760266,0.5937052932761088,0.5765879244276155,16,3,2e-05,0.0001,0.0001
2,offensive,0.1873574953206948,11.211362795396285,0.5565092989985694,0.520013390817029,0.5565092989985694,0.5213243770965982,16,3,2e-05,0.0001,0.0001
2,motivational,0.1873574953206948,11.211362795396285,0.542203147353362,0.5500346765034023,0.542203147353362,0.5457017782516257,16,3,2e-05,0.0001,0.0001
3,humour,0.09223139532509127,11.214941306547685,0.6967095851216023,0.6607999303121164,0.6967095851216023,0.6753849648668557,16,3,2e-05,0.0001,0.0001
3,sarcasm,0.09223139532509127,11.214941306547685,0.6094420600858369,0.5856321619999741,0.6094420600858369,0.5959492204371958,16,3,2e-05,0.0001,0.0001
3,offensive,0.09223139532509127,11.214941306547685,0.5522174535050072,0.5359769501113789,0.5522174535050072,0.5402998381812615,16,3,2e-05,0.0001,0.0001
3,motivational,0.09223139532509127,11.214941306547685,0.5851216022889842,0.5618028788978336,0.5851216022889842,0.568806778981768,16,3,2e-05,0.0001,0.0001
