batch_size,epochs,learning_rate,lr_finetune,avg_accuracy,humour_acc,humour_precision,humour_recall,humour_f1,sarcasm_acc,sarcasm_precision,sarcasm_recall,sarcasm_f1,offensive_acc,offensive_precision,offensive_recall,offensive_f1,motivational_acc,motivational_precision,motivational_recall,motivational_f1
8,3,2e-05,0.0001,0.5468526466380543,0.6080114449213162,0.655126707736208,0.6080114449213162,0.6273544197103224,0.5493562231759657,0.5639358617595158,0.5493562231759657,0.5561558176639176,0.4363376251788269,0.49070979092852507,0.4363376251788269,0.4206045679927106,0.5622317596566524,0.5382250425375219,0.5622317596566524,0.546419121364461
8,5,2e-05,0.0001,0.5601573676680973,0.597997138769671,0.6479239231327715,0.597997138769671,0.6184656523571778,0.5679542203147353,0.5766335160189735,0.5679542203147353,0.5721033954374817,0.48497854077253216,0.49980044653702443,0.48497854077253216,0.48996831013573455,0.5708154506437768,0.560325276711091,0.5708154506437768,0.5647092777136736
16,3,2e-05,0.0001,0.5317119694802098,0.6652360515021459,0.6327353536410901,0.6652360515021459,0.6471595522561189,0.5164520743919886,0.5784619504974747,0.5164520743919886,0.5375423198401517,0.5021459227467812,0.49653839761575835,0.5021459227467812,0.4990276096234998,0.49928469241773965,0.5515951109807151,0.49928469241773965,0.5080197336854121
64,3,2e-05,0.0001,0.5394611349546973,0.6452074391988555,0.6437156158175393,0.6452074391988555,0.6444573363947911,0.592274678111588,0.583069605500218,0.592274678111588,0.5874443139933281,0.5121602288984263,0.5118619382812444,0.5121602288984263,0.5120100810415902,0.5321888412017167,0.5805387619023167,0.5321888412017167,0.5409516105698557
64,5,2e-05,0.0001,0.5625894134477825,0.6967095851216023,0.6684349448108214,0.6967095851216024,0.6803325858046888,0.5951359084406295,0.5701350045632707,0.5951359084406295,0.5811488255814153,0.463519313304721,0.47992388363879246,0.463519313304721,0.46891918587308373,0.586552217453505,0.5507279957302457,0.586552217453505,0.5583928645491713
16,5,1e-05,5e-05,0.5552932761087267,0.7110157367668097,0.6605895516275007,0.7110157367668097,0.6786113676593282,0.6208869814020028,0.5860976013287108,0.6208869814020028,0.6000298764487123,0.463519313304721,0.47011996354084434,0.463519313304721,0.4664207576677338,0.5679542203147353,0.545349128072402,0.5679542203147353,0.5530226159248703
16,3,5e-05,0.0002,0.5380305197901765,0.5765379113018598,0.6399280670608041,0.5765379113018598,0.6014232319968282,0.6323319027181689,0.5992032686341944,0.6323319027181689,0.6121044462162982,0.3977110157367668,0.1581740520383708,0.3977110157367668,0.22633298336708532,0.5822603719599427,0.5459734789073554,0.5822603719599427,0.5542453755756823
32,3,5e-05,0.0002,0.5244396757272294,0.6037195994277539,0.6914735442777925,0.6037195994277539,0.6315624132624845,0.5221745350500715,0.5655879110949241,0.5221745350500715,0.5393575566607565,0.46208869814020026,0.5250686216125565,0.46208869814020026,0.4458259531757386,0.49642346208869814,0.5261420396921764,0.49642346208869814,0.5059369744535765
